NodeID,U1,U2,U3,UR1,UR2,UR3
131,2.0335588455200195e+00,-1.2461513280868530e+00,-5.1147403717041016e+00,4.1922540664672852e+00,6.7699605226516724e-01,-4.8448462486267090e+00
132,1.6461223363876343e+00,-1.4854980707168579e+00,-3.3483357429504395e+00,3.9460933208465576e+00,-5.0283074378967285e-01,1.0790182352066040e+00
133,2.1711990833282471e+00,-5.4878050088882446e-01,-7.3281269073486328e+00,-4.5611324310302734e+00,-7.1519261598587036e-01,2.9832835197448730e+00
134,1.2135157585144043e+00,-1.1211667060852051e+00,-1.6537501811981201e+00,6.6476736068725586e+00,2.9822680950164795e+00,-1.8038505315780640e+00
135,1.9407129287719727e+00,7.7308607101440430e-01,-9.4034938812255859e+00,-3.7481956481933594e+00,-3.8848493099212646e+00,3.8057632446289062e+00
136,1.1478316783905029e-01,-6.6309556132182479e-04,-3.8389191627502441e+00,-2.2962179183959961e+00,4.3195300102233887e+00,-2.1052406311035156e+01
137,-2.0750239491462708e-02,6.6491469740867615e-02,-1.1952856779098511e+00,-3.5441074371337891e+00,-1.0129551887512207e+01,4.8230819702148438e+01
138,1.7698403447866440e-02,8.3087515830993652e-01,-4.4505681991577148e+00,4.8099851608276367e-01,2.6226530075073242e+01,-3.2283336639404297e+01
139,7.5662088394165039e-01,4.6603348851203918e-01,-7.9928374290466309e+00,3.4380145072937012e+00,1.8795532226562500e+01,-1.5359266281127930e+01
140,1.6729767322540283e+00,-1.7999099493026733e+00,-3.9284510612487793e+00,4.0085706710815430e+00,7.4706645011901855e+00,-7.2962594032287598e+00
141,2.8666329383850098e+00,-6.0402613878250122e-01,-8.2805795669555664e+00,-1.2040405273437500e+00,-6.7211365699768066e+00,5.9517517089843750e+00
142,9.8193243145942688e-02,1.7402586936950684e+00,-3.1872558593750000e+00,-4.9242386817932129e+00,-1.6711595535278320e+01,2.5411132812500000e+01
143,4.4246207922697067e-02,-4.3425646424293518e-01,-7.5086200237274170e-01,1.0100545883178711e+00,-1.2088853865861893e-01,1.4155511856079102e+00
144,1.6998049616813660e-01,-7.6158803701400757e-01,-1.4032520055770874e+00,6.4717881381511688e-02,7.2475075721740723e-01,-2.4615256786346436e+00
