NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,IsFixedNode
88,19.184299689128,2.371148160686,9.48803923098,0.167671737731557,0.196658016191806,0.966028888301785,5.03915134700791,0,0,0,0
89,21.152265232011,2.036977515516,9.126409187514,0.250311279022145,0.211744733696136,0.944726643715657,3.93470952890956,0,0,0,0
90,21.017640546623,4.026553455443,8.328924717785,0.325092304487617,0.451624918078385,0.830872990855776,3.81445759048777,0,0,0,0
91,20.489443477683,5.989798996663,7.191010684722,0.375997907654111,0.607725813518377,0.699496182279187,4.4804651819581,0,0,0,0
92,22.670456951828,4.754166686105,6.957482969731,0.434665391118024,0.584387116615689,0.685242800544316,4.36049339879252,0,0,0,0
93,24.896020669442,3.096266971583,6.776327959036,0.531584946339941,0.52297331596368,0.666270482322844,5.37163884977108,0,0,0,0
94,27.980856124517,3.109445101003,2.654385845174,0.741967003024583,0.604844529053114,0.289219747073457,5.29385997977643,0,0,0,0
95,28.736190030104,2.807276234047,0.700627207397,0.798397461063826,0.597292308019236,0.0761800035960283,3.4427219979169,0,0,0,0
96,28.382925943644,3.175866192759,-1.1558197985545,0.779009267231007,0.613105624707031,-0.1313242343241,3.90418363613597,0,0,0,0
97,27.75717029116,3.136966693999,-3.0448218732741,0.728880117751902,0.596423246376012,-0.336174188670506,4.88970667742426,0,0,0,0
98,25.118514906564,3.275927115389,-6.3768351126112,0.537934244852787,0.549582935077886,-0.639206809793074,5.78599440743942,0,0,0,0
99,21.004469566246,5.460750271593,-7.2908366879336,0.394217902295789,0.606432277913287,-0.690530330843193,6.30759007919534,0,0,0,0
100,22.112268404076,6.68162180846,5.301534219629,0.49353328725592,0.732076511761274,0.469562429606342,6.18732643624173,0.304176148063816,0.210764830311343,1,0
101,21.547433627908,8.155877578537,2.932755136952,0.463822919563221,0.842225688089058,0.274816647259154,6.89437803178649,1.34381815515559,0.931136800973787,1,0
102,25.580921183796,4.670171015482,-4.0466930000442,0.583564589627034,0.709909104858911,-0.394311339644007,5.95838375294945,0,0,0,0
103,20.703661722618,8.968845669992,0.231326844226,0.447449563462845,0.894224988278773,0.0122702279823309,5.79358692963228,0.784626664574516,0.543670852791876,1,0
104,19.357108292746,8.765121975488,-4.1959857805924,0.355775310328949,0.853887798943503,-0.379867813029427,6.98856100684636,0.387966172583618,0.268823262611545,1,0
105,21.523348598515,8.30560318967,-2.320056739454,0.487471511406992,0.848263372710356,-0.206931815061471,5.91684414366011,1.44320163669852,1,1,0
106,22.808896202868,7.806804846034,0.088092250448,0.517537059878308,0.855566766861401,0.0126846006970957,5.39909694644699,0.779529924884506,0.540139302133668,1,0
107,21.72919559793,7.173273517029,-4.8693685081939,0.492593919176933,0.745598031444267,-0.448814890903079,7.4877902729366,0.275305144296618,0.190760000055438,1,0
108,23.765602443983,6.885006210794,2.233408899049,0.579684679149396,0.765280834214939,0.279840878970082,8.24826006566754,0.192059221492207,0.133078577939783,1,0
109,19.754084987119,9.17764354003,2.430107976188,0.376825396635623,0.886781725384254,0.267620612014342,8.71100629906913,1.13839772581715,0.788800190402608,1,0
