NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,FX_From_KU,FY_From_KU,FZ_From_KU,KU_ForceMagnitude,FX_From_Pressure,FY_From_Pressure,FZ_From_Pressure,PressureForceMagnitude,IsFixedNode
68,22.346387928092,1.030573575768,-8.9387662447648,0.207360460970268,0.14702145500428,-0.967153726661187,6.67000555860191,0,0,0,2.09022036715221e-06,2.69411453370427e-06,1.55088893149559e-06,3.74600197301203e-06,0,0,0,0,0
69,29.634223044863,1.136970202674,-0.1108557545891,0.922999008385416,0.384668433179886,-0.0101502233704295,3.89899867268547,0,0,0,5.00519141086522e-07,-9.75745788356699e-07,-9.42315120717368e-07,1.44587587324169e-06,0,0,0,0,0
70,22.551872663235,0.41636486513,9.03202352952,0.27688236868595,0.0548584270553075,0.959336597285789,5.30484996090674,0,0,0,9.59688505497436e-07,-2.99981536788091e-07,-5.34160472964729e-07,1.13855977483642e-06,0,0,0,0,0
71,17.466433263982,0.547802923867,9.754169665486,0.0603815388872303,-0.0794205535464696,0.995010776542637,4.81772065688035,0,0,0,-2.25811683293893e-07,-8.64966795880925e-07,-8.48503579550797e-08,8.97974419197808e-07,0,0,0,0,0
72,14.852455401088,1.038265348671,9.846469979604,0.0206976775104476,-0.0546119939005128,0.998293111399595,5.92079726621437,0,0,0,-1.67024452758042e-07,1.76420408887559e-07,2.72575430351751e-08,2.44467384621122e-07,0,0,0,0,0
73,14.399497020672,3.493053661137,9.704905553255,0.0372861507167792,0.173037923310419,0.984209134310967,4.75705084275658,0,0,0,4.6664284151024e-07,-2.40680448626573e-08,-2.97337547638943e-08,4.68208189258391e-07,0,0,0,0,0
74,16.760233103306,2.738517730954,9.704833491545,0.106236376157872,0.189376612347066,0.976140528344558,5.60062564029371,0,0,0,-4.38409068373967e-07,8.84564812349276e-07,-1.15112471787276e-07,9.93935762330753e-07,0,0,0,0,0
75,14.027309536501,5.831845504273,9.02547894163,0.0700680677087037,0.397835467963032,0.914777244097274,4.95169785704679,0,0,0,6.69010309229182e-07,2.01645720154797e-06,-1.20517852573998e-06,2.44256621577275e-06,0,0,0,0,0
76,15.778254630549,6.890227341897,8.175443177154,0.19587009640837,0.533572919920637,0.822760502491668,3.81452387749491,0,0,0,-4.57101072860733e-08,2.56957832516294e-06,-2.43759770990684e-06,3.54213280078519e-06,-0.0133898469932245,-0.0416497773200902,-0.0461472887746421,0.0635890258972826,0
77,14.338154130974,9.628969571524,5.792663288428,0.200419459694672,0.807714042444922,0.554463764201935,5.85916955667019,0,0,0,-6.83167802037477e-07,2.74084120344131e-06,-3.4781530385275e-06,4.48067821960475e-06,-0.114306992806735,-0.371066382310293,-0.220990434545574,0.446758459176778,0
78,14.374871536922,10.7461410987,3.442449739368,0.231651239176264,0.932178718375782,0.278173579614214,6.08865194484366,0,0,0,4.76219925823335e-06,-1.20294830638357e-06,-6.29735866959635e-07,4.95198885954772e-06,-0.137287849914319,-0.486753236549087,-0.167780963806383,0.532848119862411,0
79,14.283622177983,11.14742777527,-1.5489430019538,0.21932382874256,0.968301601035097,-0.119536887940805,3.98696652288647,0,0,0,-1.69204479441576e-07,-2.39957988451556e-07,-3.02143201341004e-06,3.03566490307212e-06,-0.0576469706138951,-0.209985054450401,0.0254551766889455,0.219237000375764,0
80,13.924495449955,10.83896036087,-3.46940814108,0.231333775267615,0.922886067540858,-0.307840852973421,3.76156378350033,0,0,0,-2.15936427257202e-06,4.2669824268371e-07,-1.14720984309424e-08,2.20114903198585e-06,-0.0252092264179453,-0.0774342340460302,0.0259641801146139,0.0854734131055425,0
81,14.446379455537,9.799271368316,-5.4115904355716,0.222246913145336,0.823615646465673,-0.521788823657906,6.97992625270255,0,0,0,-1.96053898615656e-07,2.92876376051243e-06,4.87989485997709e-06,5.69468771228801e-06,-0.0455396353209888,-0.130352807852601,0.0545010997753791,0.148445554924867,0
82,15.054612439153,6.02007954269,-8.7572396858945,0.117110780666577,0.460847411549326,-0.879718550628524,6.50465940801138,0,0,0,-6.07301062570398e-07,-3.68307251352729e-06,-2.38101488111986e-06,4.42753538490813e-06,0,0,0,0,0
83,17.616023014989,2.586639634652,-9.5865908377174,0.149820914378026,0.130471204953527,-0.980066813178013,7.82638918687304,0,0,0,-1.55542350216854e-06,6.73053147852085e-07,-2.60386397037821e-07,1.71468477764695e-06,0,0,0,0,0
