NodeID,X,Y,Z,U1_Interpolated,U2_Interpolated,U3_Interpolated,U_Magnitude,IsMeasuredNode,IsFixedAnchor
92,22.670456951828,4.754166686105,6.957482969731,0.544146163983358,-2.6859494961521,6.67577015864584,7.21639293239522,0,0
93,24.896020669442,3.096266971583,6.776327959036,0.860090522724949,-2.57293705099204,5.51175938725971,6.14322816755934,0,0
94,27.980856124517,3.109445101003,2.654385845174,-1.86729655311126,-4.77641039703512,0.570687046583871,5.16009461185597,0,0
95,28.736190030104,2.807276234047,0.700627207397,-1.90592177900182,-4.43923655543373,-0.283126419804714,4.83937181794951,0,0
96,28.382925943644,3.175866192759,-1.1558197985545,-2.01835429804739,-4.76750667226122,-0.995438807967094,5.27197992815873,0,0
97,27.75717029116,3.136966693999,-3.0448218732741,-1.49219787500811,-4.33985093353369,-1.72149318414625,4.90147930797774,0,0
98,25.118514906564,3.275927115389,-6.3768351126112,0.291112131045576,-2.74428775976317,-4.09785536088781,4.94047367566966,0,0
99,21.004469566246,5.460750271593,-7.2908366879336,-0.0108911677134154,-2.59824105709383,-4.81115290373467,5.46792167751302,0,0
100,22.112268404076,6.68162180846,5.301534219629,-1.26826257539538,-5.18704988293062,5.03181872034178,7.33710951823272,0,0
101,21.547433627908,8.155877578537,2.932755136952,-3.80391912763409,-10.2110695249381,1.9740673782216,11.073964221834,0,0
102,25.580921183796,4.670171015482,-4.0466930000442,-1.38228600670692,-4.9032727184121,-2.74623467640045,5.7874521901547,0,0
103,20.703661722618,8.968845669992,0.231326844226,-5.82318826145092,-15.0044789555378,-0.618968338615161,16.1067387158197,0,0
104,19.357108292746,8.765121975488,-4.1959857805924,-2.73788726552033,-7.72127393306666,-3.20592667352923,8.79727592293201,0,0
105,21.523348598515,8.30560318967,-2.320056739454,-4.08262988304446,-10.7655568549767,-2.05018118921687,11.6947990178661,0,0
106,22.808896202868,7.806804846034,0.088092250448,-4.82642040973543,-11.8713687067578,-0.687589658880238,12.8334137501406,0,0
107,21.72919559793,7.173273517029,-4.8693685081939,-1.92268701730558,-6.20091941971181,-3.60417072271246,7.42550830682534,0,0
108,23.765602443983,6.885006210794,2.233408899049,-3.76138569764393,-9.63462464918175,1.23041704162192,10.4157544418719,0,0
109,19.754084987119,9.17764354003,2.430107976188,-5.08717612815238,-13.2908338563391,1.32205808438477,14.2924267755389,0,0
110,15.738664945649,8.436975724604,6.790927909125,-0.31720047400673,-0.479319042426228,7.69658119766158,7.71801302262054,0,0
111,11.742743298588,8.937443558152,7.187671419627,-0.19384813407623,0.058753632217045,2.63982137752916,2.64758115902865,0,0
112,17.960154516719,6.949436324436,7.483651749409,1.46309,2.367635,13.883707,14.1599310698596,1,0
113,14.078735295308,7.869931926417,7.779079130012,0.03584,2.491904,8.872432,9.21579728756226,1,0
114,26.754927826731,3.166576499078,4.81534690522,-0.785741156115635,-3.91510319367342,2.56405642225688,4.74550392667022,0,0
115,23.753238189824,4.966908313304,5.917331716631,-0.679000680493701,-4.43675280100498,4.49897528937487,6.35504492476191,0,0
116,22.702022566112,3.139816538379,8.074880628006,2.959224,-0.629833,9.99089,10.4389453146458,1,0
117,28.981461361526,0.472839552982,4.324794985698,-0.557434758112864,-2.47501948435779,1.1715075063882,2.79443818951627,0,0
118,19.736618042718,4.64323804525,8.467067136115,0.832617126350723,-0.382668314215347,7.67224512098202,7.7267736807952,0,0
119,15.741095726983,4.544609534125,9.354589892608,0.509064019862744,0.692751260334106,6.63164877234402,6.68713809673057,0,0
120,11.745048555362,4.262047414671,9.616159420263,0.0888679418198656,0.276611435682396,2.01517862670126,2.03601480715321,0,0
121,19.746486153894,-0.3477912142594,9.49363823917,0.779161783102787,-0.441027687233694,3.59854566113779,3.70825152604947,0,0
122,15.745363738602,-0.8507382213017,9.494346204363,0.112198164469738,-0.162706146857243,1.17468861149363,1.19119899777843,0,0
123,11.745156109787,-1.3465661604488,9.482670019663,0.0020408602414525,-0.0499353264731483,0.31528244880601,0.31921892873954,0,0
124,25.003364442936,1.2309509837,7.820838234858,2.257718,-1.780323,5.775821,6.45189497557841,1,0
125,26.764024323436,0.667598149663,6.915429218772,0.553537312016478,-1.97025645000021,3.12614161615188,3.73645225297989,0,0
126,29.252571741026,1.660464093804,1.727182331294,-1.21556110431426,-3.20898677323937,0.16663510129071,3.43554248498386,0,0
127,29.252861695101,1.660614612171,-1.6581727665484,-1.13386712623027,-3.09423398906684,-0.895890350417258,3.41504877842366,0,0
128,26.758847417861,4.572661378894,-1.9626596810126,-2.84302763149714,-6.76759954659948,-1.65633082075714,7.52506754284503,0,0
