NodeID,Component,Force_From_KU,Force_From_ReconstructedPressure,Force_Error
78,3,-6.29735866959635e-07,-0.167780963806383,-0.167780334070516
79,1,-1.69204479441576e-07,-0.0576469706138951,-0.0576468014094157
79,2,-2.39957988451556e-07,-0.209985054450401,-0.209984814492413
79,3,-3.02143201341004e-06,0.0254551766889455,0.0254581981209589
80,1,-2.15936427257202e-06,-0.0252092264179453,-0.0252070670536728
80,2,4.2669824268371e-07,-0.0774342340460302,-0.0774346607442729
80,3,-1.14720984309424e-08,0.0259641801146139,0.0259641915867124
81,1,-1.96053898615656e-07,-0.0455396353209888,-0.0455394392670902
81,2,2.92876376051243e-06,-0.130352807852601,-0.130355736616362
81,3,4.87989485997709e-06,0.0545010997753791,0.0544962198805191
82,1,-6.07301062570398e-07,0,6.07301062570398e-07
82,2,-3.68307251352729e-06,0,3.68307251352729e-06
82,3,-2.38101488111986e-06,0,2.38101488111986e-06
83,1,-1.55542350216854e-06,0,1.55542350216854e-06
83,2,6.73053147852085e-07,0,-6.73053147852085e-07
83,3,-2.60386397037821e-07,0,2.60386397037821e-07
84,1,-1.16471219361799e-06,0,1.16471219361799e-06
84,2,-5.37994740662517e-06,0,5.37994740662517e-06
84,3,-3.67797736074323e-06,0,3.67797736074323e-06
85,1,-2.61492367303884e-06,-0.139583874875804,-0.139581259952131
85,2,-2.92634383614043e-06,-0.420591774875907,-0.42058884853207
85,3,-6.97001266836139e-06,0.195675754300102,0.19568272431277
86,1,-1.93512482436436,-1.83918923857731,0.0959355857870445
86,2,-4.70290914223448,-4.64147221522091,0.0614369270135722
86,3,-2.32375570335312,-2.24414357968008,0.0796121236730465
87,1,-1.1173879840486,-1.05396529519298,0.0634226888556226
87,2,-3.22676527908648,-3.11368974462921,0.113075534457268
87,3,0.206212430525719,0.165529034660985,-0.0406833958647344
88,1,2.29962959008567e-07,0,-2.29962959008567e-07
88,2,-5.27666093501269e-07,0,5.27666093501269e-07
88,3,4.46542902238223e-07,0,-4.46542902238223e-07
89,1,-1.05448199652549e-06,0,1.05448199652549e-06
89,2,4.4740045648502e-07,0,-4.4740045648502e-07
89,3,4.98933835323123e-07,0,-4.98933835323123e-07
90,1,-9.59354165996906e-07,0,9.59354165996906e-07
90,2,1.01516508421717e-07,0,-1.01516508421717e-07
90,3,1.30965494005153e-07,0,-1.30965494005153e-07
91,1,-3.42961073929171e-07,-0.16150977585344,-0.161509432892366
91,2,5.77849196697899e-06,-0.267803173186832,-0.267808951678799
91,3,-5.78367803788504e-06,-0.257862038732471,-0.257856255054433
92,1,-2.58489433405812e-06,-0.0525820891602886,-0.0525795042659546
92,2,-5.18010442943084e-06,-0.0775095296581196,-0.0775043495536902
92,3,6.10570796805154e-06,-0.0724934391703412,-0.0724995448783092
93,1,-1.86924542135147e-06,0,1.86924542135147e-06
93,2,-6.84330634588559e-06,0,6.84330634588559e-06
93,3,6.5727244730196e-06,0,-6.5727244730196e-06
94,1,2.88710174558421e-06,0,-2.88710174558421e-06
94,2,-3.0780926117864e-06,0,3.0780926117864e-06
94,3,-4.77475080172714e-08,0,4.77475080172714e-08
95,1,-5.28093826737686e-07,0,5.28093826737686e-07
95,2,1.1795716004237e-06,0,-1.1795716004237e-06
95,3,5.83868424979678e-07,0,-5.83868424979678e-07
96,1,1.66922752825593e-06,0,-1.66922752825593e-06
