NodeID,X,Y,Z,U1,U2,U3,UR1,UR2,UR3,FX_from_KU,FY_from_KU,FZ_from_KU,MX_from_KU,MY_from_KU,MZ_from_KU,ForceMagnitude,MomentMagnitude,IsFixedNode,IsExteriorSurfaceNode
36,10.31274414064,11.82379366388,1.280831410364,-2.03759773924479e-36,1.96186000111255e-37,8.08105013512616e-37,-2.38849641686008e-38,2.63466812328188e-39,-7.48889772575869e-39,-2.8457022400829,2.23017271756492,0.577472351227026,-0.0163960676904631,0.026471638363217,-0.0105272703697344,3.66130658451534,0.0328694705582654,1,1
37,10.312744140652,11.3588557941,3.727178812075,-1.10368966511584e-36,-1.39382848973352e-36,4.74069682689195e-36,-1.57817596168575e-39,-4.29911222232686e-39,1.28247816363932e-38,-5.84438930061098,-0.266714960778787,6.11564332768332,-0.01440296043505,-0.00264843164593756,0.017096550638598,8.46339863641296,0.0225111417572491,1,1
38,10.31274413718,10.19808578538,5.924500170208,-4.95904074126127e-36,-5.3316151967798e-36,8.53192798295084e-36,1.57758531438304e-38,-8.59018799796081e-39,1.15788885730605e-38,-13.4909789352724,-0.283081033697858,13.778862946482,0.00419697429228358,-0.0242184587379867,0.0204347070022379,19.285842258028,0.0319644425435665,1,1
39,10.312742427756,8.445252473438,7.69178923014,-4.00459371222645e-36,-5.13424887736685e-36,4.69970124616758e-36,9.32850273154581e-39,-7.46540916089968e-39,5.99266129047587e-39,-8.70430516537915,-1.04336441603707,9.76545403089753,0.00333584502915585,-0.0166662599355901,0.0136147907536743,13.1231714972514,0.0217773875743978,1,1
40,10.312661965828,6.308417996532,8.969615205704,-5.09875876289067e-36,-3.3329659317796e-36,1.89257980503633e-36,-1.15277019427556e-38,6.9737131479466e-39,-3.25319706153946e-39,-6.99134506620258,1.82145194907788,5.13880138516268,-0.00827448925939676,0.0183817772290283,-0.0104209370247518,8.86588251183517,0.0226925722445768,1,1
41,10.312743010296,3.924623444604,9.690834721805,-1.03434812579805e-36,-1.98183906441441e-36,4.66056085008532e-37,3.67753125601398e-39,-4.18684719585748e-39,1.35861491310148e-39,-1.5004081827309,-0.914109230348352,2.43011085738291,0.00231890777720928,-0.00779301533176652,0.0056070771382663,2.99870958563583,0.00987662570288144,1,1
42,10.312745417721,1.441102301229,9.895929285108,-9.37880407753284e-37,-6.84204176325254e-37,2.19102571752712e-38,-5.84600699839349e-40,-3.65510487539092e-40,-1.20466826381076e-40,-0.959792004058851,0.265117679887251,0.690148938533357,-0.000464134321828561,0.000225190823243815,0.000235097293558209,1.21152533304212,0.000566923551293189,1,1
43,10.312755623951,-1.0346907618356,9.614869206794,-4.1843973898302e-37,-1.46960156300783e-37,-9.51855383576986e-39,-1.61590732413616e-40,-4.87185233196416e-40,-2.26947292789726e-40,-0.408921455764238,0.273906045042422,0.130341213016922,6.53555109994325e-05,-0.000317369009063997,0.000257430646041543,0.509146452708695,0.000413841718841427,1,1
44,14.059468711656,-1.3213382053299,-9.3228367104515,-0.00533025292679667,-0.217876419425011,-0.373844683170319,-0.614804804325104,0.872276663780212,2.42331004142761,1.92435697563519e-09,-2.0481880339332e-08,-1.57975794945475e-08,4.41874918773177e-09,-2.67053597985401e-10,5.60084444101161e-10,2.59378890793167e-08,4.46210226158044e-09,0,1
45,14.055859827227,-1.3082343524453,9.396771506921,-0.030506631359458,0.00270660314708948,-0.00523322867229581,0.18363294005394,-0.509241282939911,0.77730393409729,-2.81910283836569e-08,-9.0837742485958e-08,-2.48475130332215e-08,-3.69931134336365e-09,-6.42925190169619e-09,-1.49607807045649e-09,9.83037560076393e-08,7.56693029064652e-09,0,1
46,12.438589825994,2.454488555049,9.862116025511,-0.0416561290621758,-0.182065546512604,1.41574954986572,-2.04155254364014,-2.78470182418823,-22.9351654052734,5.4287291488108e-08,-4.96734151123144e-08,-6.99594183799224e-09,1.04856527054914e-08,5.85149810550245e-09,-6.09758697337317e-10,7.39155016774944e-08,1.20233418153131e-08,0,1
47,18.851618670862,-1.7551139607917,-8.9401954001253,0.041854489594698,-0.297116756439209,-0.370652914047241,-0.654887855052948,-0.63559478521347,-0.736752033233643,3.97074967582994e-08,2.74338096470719e-07,-1.69763782561019e-07,-1.69797578948583e-09,1.94244205789507e-10,-1.68974769181214e-10,3.25050485837836e-07,1.71738320295229e-09,0,1
48,21.422384684284,-1.5261818649078,-8.9113734708596,0.193249180912971,-0.952533423900604,-1.35668230056763,-1.3500999212265,0.0244707074016333,-1.14531481266022,-2.28555422674987e-07,-4.50310423502805e-08,-1.03005932573438e-07,2.23691691905725e-09,-6.07769649711709e-10,8.15537405727922e-10,2.54706886743603e-07,2.45729170226425e-09,0,1
49,18.758591711762,-1.6180512367974,9.08544869941,0.0240167044103146,-0.160923182964325,0.179012730717659,-0.171025142073631,2.31163883209229,-3.94644284248352,-7.62725017688752e-08,2.6460261984447e-07,1.14501242622772e-07,1.0522885496723e-08,1.41323575108057e-08,4.02296887122566e-09,2.98232418621449e-07,1.80731548582206e-08,0,1
50,21.372984584044,-1.6879999910574,8.917118887271,0.207292214035988,-1.1538450717926,1.54643082618713,1.45383775234222,-1.76677978038788,1.8748060464859,6.14065865933711e-08,1.3537367324571e-06,4.85585730791716e-07,6.16285708576747e-09,-7.57146278312915e-09,-3.35847976891924e-09,1.43950248753839e-06,1.03241097676334e-08,0,1
51,23.992312649158,-1.3807503514847,8.516404667641,0.883963108062744,-1.67473113536835,2.97566962242126,2.95013022422791,0.879235744476318,-3.66404223442078,-2.26770249638791e-07,3.4599333984141e-07,1.79195106131229e-07,1.41798710828756e-08,4.5686090877203e-09,-5.77682281481182e-09,4.50829261913238e-07,1.59785047722589e-08,0,1
52,26.376736019175,-1.0990085341073,7.570497333826,1.7084196805954,-1.39588677883148,3.23470568656921,3.5023877620697,0.0716902017593384,-0.00949336774647236,-1.20689791330286e-06,-1.28235215426063e-06,6.41299035188114e-07,9.53495817024308e-10,4.04502003593932e-09,-9.99178219329711e-10,1.87411154235944e-06,4.27430678335286e-09,0,1
53,23.975904377591,-1.2183761995184,-8.4837637315993,0.687115669250488,-1.27722012996674,-2.33374238014221,-3.00654602050781,0.63786780834198,0.720727920532227,-5.08538616331849e-07,9.57329575261394e-08,-4.8829571920421e-07,7.25499504222737e-10,-7.817669046839e-10,1.63493363118661e-09,7.11483684177346e-07,1.95205455924559e-09,0,1
54,26.347576404538,-1.0982992856336,-7.5175564131394,1.45058047771454,-1.20122587680817,-2.94292306900024,-2.83075523376465,-0.203047186136246,-2.18210673332214,1.2722638105863e-06,-1.90152500080445e-07,9.62888024536035e-07,6.2855224497449e-12,-4.79052908886751e-10,8.32416328575003e-10,1.60684987625146e-06,9.60441638718153e-10,0,1
55,28.449492663278,-1.0535224072735,-5.8683790891648,1.88643538951874,-0.73415344953537,-2.16435647010803,0.248200431466103,-0.377410441637039,-3.56374526023865,1.16831364201098e-07,-9.37539953744376e-07,6.08747408245569e-08,-4.52490305641318e-09,4.8484411069305e-09,-4.20470107689863e-09,9.4675047747469e-07,7.85249259683722e-09,0,1
56,29.716627269057,-0.9354070463398,-3.5364952600241,2.01237487792969,-0.358273327350616,-1.25377583503723,-5.85792827606201,-0.665939688682556,0.852152585983276,-9.87027254970019e-07,2.44187178140981e-07,-2.25306012173465e-06,-2.17751617778705e-09,-9.48192219185628e-10,-5.33564638305339e-09,2.47186773355151e-06,5.84035679680953e-09,0,1
57,30.192489259972,-0.8883863297416,-1.1795539098071,1.81746006011963,-0.207591310143471,-0.491080701351166,-6.42594528198242,-2.43072271347046,-0.609813213348389,3.03201785026297e-07,-3.85137494722521e-07,7.62120769371571e-07,4.11161134490374e-10,-6.8343261952486e-09,-9.01967367461509e-09,9.061403199239e-07,1.13239384146206e-08,0,1
