NodeID,X,Y,Z,U1_Completed,U2_Completed,U3_Completed,UR1_Completed,UR2_Completed,UR3_Completed,U_Magnitude,IsMeasuredNode,IsFixedNode
126,29.252571741026,1.660464093804,1.727182331294,0.38212618632915,-1.19426460097412,0.182199560935913,-7.47985271197548,-0.934943295404175,0.73601037610232,1.26707736126236,0,0
127,29.252861695101,1.660614612171,-1.6581727665484,0.238924904325782,-1.31754482875299,-0.796634292385071,8.40021503428084,5.81810221538795,1.8103871746718,1.55808718674042,0,0
128,26.758847417861,4.572661378894,-1.9626596810126,2.56091601536861,0.0723838517088752,-3.16650810204752,17.6208817633891,13.6186578011993,-8.10443307256913,4.07311966680237,0,0
129,23.765602945288,6.88500690367,-2.1643461255316,0.330628703013535,-2.67948713511695,-3.04897460431059,-53.1706610305859,-74.9434127480553,29.1966045368758,4.07249466350106,0,0
130,19.754085290547,9.177644230308,-2.3610451624641,0.610545750237176,-0.819188322842615,-4.41906740611144,12.8333258178224,-19.0632336077404,3.46592151167466,4.53563582766197,0,0
131,25.003364460481,1.230950996427,-7.7517793713904,2.033559,-1.246151,-5.11474,6.17847099701237,2.69575375503177,-9.82918295567413,5.64347586057405,1,0
132,26.764023522006,0.667597681567,-6.8463711952152,0.965236278251191,-1.49610043852985,-2.37501686381653,3.58195848487686,-1.42489581229831,3.29510816773597,2.96828278612978,0,0
133,22.702022562,3.13981748729,-8.0058212475898,2.171199,-0.548781,-7.328127,-25.2951049541637,-33.2370141527429,56.5541371146564,7.66268301652176,1,0
134,28.981461376678,0.472839559758,-4.2557360972662,0.823139978536031,-0.916596107965237,-1.24617540052968,4.15939744858784,1.74367177643735,-1.2719835967173,1.75233015675889,0,0
135,19.736617708259,4.643237504487,-8.3980087097763,1.49608663012502,0.53975135431523,-8.0329183632635,-2.48729791707828,-1.28482934037802,3.40304178842079,8.18885731712184,0,0
136,15.741095514528,4.544608848814,-9.2855312914609,0.0124673933669377,-0.0379261212375539,-3.51777402484111,-3.1985253073987,-1.03057373838095,1.5871192608209,3.51800055662536,0,0
137,11.745048529564,4.262046924625,-9.547100679362,-0.0300181715674803,-0.0605812568089159,-0.654461783452046,-0.741019816978676,-2.24988970393582,13.4919672377013,0.657944834541647,0,0
138,14.078733534356,7.869932572826,-7.710020081367,0.017698,0.830875,-4.450568,3.5318561595276,15.4924573546298,-20.4766118105765,4.52749621838086,1,0
139,17.960154525797,6.949436345805,-7.4145928785526,0.756621,0.466033,-7.992837,6.69528482156404,1.98380141063281,1.43050543325591,8.04208339942449,1,0
140,26.754928112762,3.166576785638,-4.7462872607252,-0.0122972240618474,-2.31024816775552,-1.87106407600638,-10.3448685350994,0.0557305157925733,5.50502752931217,2.97292424976805,0,0
141,23.753238483734,4.966908677622,-5.8482721884338,-1.81229204145676,-4.91615781601641,-1.48505517090514,20.0810563893148,25.4175912993037,-21.4981890969096,5.44595253157231,0,0
142,11.742743325976,8.93744381708,-7.1186123272139,0.0381629016786328,0.844509958040081,-2.10609632334519,2.46405046934953,10.0573371945803,-5.81844628252452,2.26942618287124,0,0
143,17.259670249062,-0.7399864756325,-9.4242521356718,0.044246,-0.434256,-0.750862,-1.93742154269903,1.79503876418459,4.0517500288378,0.868521574341133,1,0
144,19.746485818506,-0.3477904026165,-9.4245795801461,0.160674157001565,-0.743436345387668,-1.40759320036499,0.286175517420722,-1.35390332629304,-3.696816153906,1.59994762479441,0,0
